,template,run,mean,source_data,bw,paylen,impl_head,has_crc,cr,frames,frame_period,delay_sf1,delay_sf2,delay_sf3,delay_sf4,delay_sf5,delay_sf6,num_right,num_total,num_dec,num_per,time,load,data_rate
86,lora_sim_multi2,18,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,15,200,0,0,0,0,0,0,16,30,22,53.333333333333336,8.50732707977295,16.4,225.68780793264654
87,lora_sim_multi2,18,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,15,1000,0,0,0,0,0,0,22,30,24,73.33333333333333,8.407310009002686,15.08,228.37268971217102
88,lora_sim_multi2,19,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,15,200,0,0,0,0,0,0,22,30,26,73.33333333333333,4.929181337356567,14.68,389.5170148131864
89,lora_sim_multi2,19,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,15,1000,0,0,0,0,0,0,17,30,25,56.666666666666664,8.656041383743286,19.42,221.81039979844692
90,lora_sim_multi2,20,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,15,200,0,0,0,0,0,0,18,30,23,60.0,4.881734848022461,18.1,393.3028031577282
91,lora_sim_multi2,20,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,15,1000,0,0,0,0,0,0,23,30,26,76.66666666666667,5.125277280807495,16.81,374.6138783924489
92,lora_sim_multi2,21,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,15,200,0,0,0,0,0,0,17,30,22,56.666666666666664,8.385352611541748,20.9,228.97069317720496
93,lora_sim_multi2,21,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,15,1000,0,0,0,0,0,0,24,30,25,80.0,8.461448431015015,19.31,226.91150524091555
94,lora_sim_multi2,22,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,15,200,0,0,0,0,0,0,16,30,21,53.333333333333336,8.313475370407104,22.58,230.9503444052399
95,lora_sim_multi2,22,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,15,1000,0,0,0,0,0,0,4,30,8,13.333333333333334,90.1110246181488,7.67,21.307048811575743
96,lora_sim_multi2,23,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,15,200,0,0,0,0,0,0,22,30,25,73.33333333333333,8.625818014144897,12.95,222.58758495153984
