,template,run,mean,source_data,bw,paylen,impl_head,has_crc,cr,frames,frame_period,delay_sf1,delay_sf2,delay_sf3,delay_sf4,delay_sf5,delay_sf6,num_right,num_total,num_dec,time,load
72,lora_sim_multi3,22,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,22,30,22,14.7917623519897,2.16
73,lora_sim_multi3,23,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,19,30,27,14.789142370224,2.29
74,lora_sim_multi3,24,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,24,30,27,14.7867321968079,3.68
75,lora_sim_multi4,0,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,16,40,25,14.7756462097168,3.56
76,lora_sim_multi4,1,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,8,40,13,14.7690329551697,4.06
77,lora_sim_multi4,2,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,0,40,1,14.7657463550568,4.48
78,lora_sim_multi4,3,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,9,40,13,14.7586276531219,4.17
79,lora_sim_multi4,4,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,22,40,30,14.7410156726837,4.08
80,lora_sim_multi4,5,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,19,40,29,14.5880024433136,3.4
81,lora_sim_multi4,6,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,23,40,34,14.5837244987488,3.02
82,lora_sim_multi4,7,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,32,40,34,14.5627384185791,2.49
83,lora_sim_multi4,8,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,21,40,27,14.5592880249023,3.44
84,lora_sim_multi4,9,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,22,40,31,14.5330667495728,2.75
85,lora_sim_multi4,10,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,10,40,14,14.5166673660278,3.73
86,lora_sim_multi4,11,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,25,40,34,14.5105314254761,3.21
87,lora_sim_multi4,12,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,21,40,31,14.4930367469788,2.65
88,lora_sim_multi4,13,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,3,40,7,14.4469516277313,3.39
89,lora_sim_multi4,14,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,24,40,32,14.4306240081787,2.8
90,lora_sim_multi4,15,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,26,40,32,14.4018318653107,2.38
